row_id,order_id,order_date,customer_id,segment,region_code,product_code,quantity,sales,discount,profit
76,MX-2013-FM1421582-41321,2021-02-16,FM-1421582,Corporate,R2137,P000603,12,60.00,0.00,30.00
77,US-2015-LR16915101-42180,2023-06-25,LR-16915101,Consumer,R2457,P001590,2,60.00,0.40,-18.00
78,US-2015-LR16915101-42180,2023-06-25,LR-16915101,Consumer,R2457,P001072,2,68.00,0.40,-17.00
79,US-2015-LR16915101-42180,2023-06-25,LR-16915101,Consumer,R2457,P000905,7,280.00,0.40,-84.00
80,US-2012-KT1646598-41072,2020-06-12,KT-1646598,Consumer,R2447,P001496,3,12.00,0.40,-3.00
81,US-2012-KT1646598-41072,2020-06-12,KT-1646598,Consumer,R2447,P000156,14,98.00,0.40,9.80
82,US-2012-KT1646598-41072,2020-06-12,KT-1646598,Consumer,R2447,P004284,3,57.00,0.40,-17.10
83,US-2012-KT1646598-41072,2020-06-12,KT-1646598,Consumer,R2447,P000636,5,245.00,0.40,24.50
84,MX-2014-MW1822082-41815,2022-06-25,MW-1822082,Consumer,R2140,P004131,2,28.00,0.00,4.20
85,MX-2014-MW1822082-41815,2022-06-25,MW-1822082,Consumer,R2140,P000748,5,35.00,0.00,3.50
86,MX-2015-CS1235582-42026,2023-01-22,CS-1235582,Consumer,R2156,P008801,3,18.00,0.00,7.20
87,MX-2015-PS1876082-42173,2023-06-18,PS-1876082,Consumer,R2210,P000659,8,120.00,0.00,12.00
88,MX-2015-PS1876082-42173,2023-06-18,PS-1876082,Consumer,R2210,P000054,2,70.00,0.40,-17.50
89,MX-2013-SC2084582-41636,2021-12-28,SC-2084582,Consumer,R2131,P003330,3,108.00,0.00,10.80
90,MX-2013-SC2084582-41636,2021-12-28,SC-2084582,Consumer,R2131,P000061,3,54.00,0.20,16.20
91,MX-2013-SC2084582-41636,2021-12-28,SC-2084582,Consumer,R2131,P001713,9,72.00,0.00,36.00
92,MX-2013-SC2084582-41636,2021-12-28,SC-2084582,Consumer,R2131,P001279,10,90.00,0.00,45.00
93,MX-2014-AJ1078082-41752,2022-04-23,AJ-1078082,Corporate,R2168,P001650,9,135.00,0.00,67.50
94,MX-2014-AJ1078082-41752,2022-04-23,AJ-1078082,Corporate,R2168,P000326,3,36.00,0.00,18.00
95,MX-2014-AJ1078082-41752,2022-04-23,AJ-1078082,Corporate,R2168,P001222,20,120.00,0.00,12.00
96,MX-2012-KT1646518-41017,2020-04-18,KT-1646518,Consumer,R0382,P003349,7,112.00,0.00,56.00
97,MX-2012-KT1646518-41017,2020-04-18,KT-1646518,Consumer,R0382,P002156,2,180.00,0.00,18.00
98,MX-2012-AH1007593-41202,2020-10-20,AH-1007593,Corporate,R2382,P001598,12,192.00,0.00,28.80
99,US-2014-NW1840036-41859,2022-08-08,NW-1840036,Consumer,R0927,P004107,3,42.00,0.20,12.60
100,US-2014-NW1840036-41859,2022-08-08,NW-1840036,Consumer,R0927,P009284,6,120.00,0.20,36.00
101,MX-2014-JL1585051-41986,2022-12-13,JL-1585051,Consumer,R1566,P003040,3,99.00,0.00,9.90
102,MX-2014-CG1204031-41977,2022-12-04,CG-1204031,Self-Employed,R0889,P000103,3,36.00,0.00,3.60
103,US-2014-TB2140082-41947,2022-11-04,TB-2140082,Consumer,R2195,P007236,5,40.00,0.20,12.00
104,US-2014-TB2140082-41947,2022-11-04,TB-2140082,Consumer,R2195,P000616,2,8.00,0.00,4.00
105,MX-2014-PB1915082-41973,2022-11-30,PB-1915082,Consumer,R2178,P000743,1,18.00,0.00,9.00
106,MX-2013-MD1735082-41557,2021-10-10,MD-1735082,Consumer,R2140,P001466,9,396.00,0.20,118.80
107,US-2012-HD1478536-41178,2020-09-26,HD-1478536,Self-Employed,R0927,P002721,4,96.00,0.20,28.80
108,US-2015-TT212655-42163,2023-06-08,TT-212655,Corporate,R0038,P000731,11,176.00,0.40,0.00
109,US-2015-TT212655-42163,2023-06-08,TT-212655,Corporate,R0038,P000236,13,260.00,0.40,0.00
110,MX-2014-RS1942082-41886,2022-09-04,RS-1942082,Corporate,R2172,P007215,5,90.00,0.00,9.00
111,MX-2015-SC2068082-42231,2023-08-15,SC-2068082,Self-Employed,R2131,P002378,2,380.00,0.00,38.00
112,MX-2013-EM1420051-41586,2021-11-08,EM-1420051,Self-Employed,R1576,P006831,3,177.00,0.00,17.70
113,US-2014-SW202755-41898,2022-09-16,SW-202755,Consumer,R0040,P000567,7,1281.00,0.40,128.10
114,US-2014-SW202755-41898,2022-09-16,SW-202755,Consumer,R0040,P000566,9,27.00,0.40,2.70
115,US-2014-SW202755-41898,2022-09-16,SW-202755,Consumer,R0040,P000609,5,15.00,0.40,-3.75
116,MX-2015-TS2108536-42059,2023-02-24,TS-2108536,Consumer,R0937,P001291,5,65.00,0.20,-6.50
117,MX-2015-SS2041018-42336,2023-11-28,SS-2041018,Consumer,R0221,P001053,5,120.00,0.00,12.00
118,MX-2014-AG1033028-41865,2022-08-14,AG-1033028,Consumer,R0821,P002541,3,42.00,0.00,21.00
119,MX-2014-AG1033028-41865,2022-08-14,AG-1033028,Consumer,R0821,P001994,7,196.00,0.00,98.00
120,MX-2014-AG1033028-41865,2022-08-14,AG-1033028,Consumer,R0821,P003442,3,36.00,0.00,3.60
121,US-2013-NP1868555-41347,2021-03-14,NP-1868555,Self-Employed,R1585,P007398,4,40.00,0.40,4.00
122,US-2013-PO19195143-41352,2021-03-19,PO-19195143,Self-Employed,R3800,P001540,3,90.00,0.40,9.00
123,US-2012-PB1915054-41271,2020-12-28,PB-1915054,Consumer,R1582,P000397,4,108.00,0.40,10.80
124,US-2012-PB1915054-41271,2020-12-28,PB-1915054,Consumer,R1582,P001362,2,68.00,0.70,-13.60
125,MX-2015-JL1513018-42159,2023-06-04,JL-1513018,Consumer,R0258,P001282,5,65.00,0.00,26.00
126,MX-2015-JL1513018-42159,2023-06-04,JL-1513018,Consumer,R0258,P000928,2,378.00,0.00,37.04
127,MX-2015-JL1513018-42159,2023-06-04,JL-1513018,Consumer,R0258,P000062,8,120.00,0.00,48.00
128,MX-2015-JL1513018-42159,2023-06-04,JL-1513018,Consumer,R0258,P000699,2,18.00,0.00,7.20
129,MX-2015-JL1513018-42159,2023-06-04,JL-1513018,Consumer,R0258,P000426,3,93.00,0.00,37.20
130,MX-2012-BT1130531-40912,2020-01-04,BT-1130531,Self-Employed,R0888,P005329,4,40.00,0.00,20.00
131,MX-2015-DR1288082-42363,2023-12-25,DR-1288082,Corporate,R2140,P001009,5,745.00,0.00,298.00
132,US-2014-LP1708082-41957,2022-11-14,LP-1708082,Consumer,R2169,P004784,5,95.00,0.20,28.50
133,US-2015-TT2146036-42276,2023-09-29,TT-2146036,Self-Employed,R0927,P003158,3,42.00,0.20,-4.20
134,US-2015-TT2146036-42276,2023-09-29,TT-2146036,Self-Employed,R0927,P000973,3,21.00,0.20,4.20
135,MX-2015-FW143955-42306,2023-10-29,FW-143955,Corporate,R0039,P000485,7,336.00,0.40,0.00
136,MX-2015-FW143955-42306,2023-10-29,FW-143955,Corporate,R0039,P000774,18,342.00,0.40,0.00
137,MX-2015-FW143955-42306,2023-10-29,FW-143955,Corporate,R0039,P000517,8,96.00,0.70,-28.80
138,US-2013-BM1114098-41343,2021-03-10,BM-1114098,Consumer,R2447,P000191,7,217.00,0.40,21.70
139,MX-2012-SC2002082-41051,2020-05-22,SC-2002082,Consumer,R2141,P000661,4,112.00,0.00,56.00
140,MX-2014-MO1750018-41927,2022-10-15,MO-1750018,Consumer,R0303,P001711,3,42.00,0.00,21.00
141,MX-2014-MO1750018-41927,2022-10-15,MO-1750018,Consumer,R0303,P002396,3,105.00,0.00,52.50
142,MX-2013-KD1661582-41400,2021-05-06,KD-1661582,Corporate,R2152,P001206,2,330.00,0.00,32.34
143,MX-2013-KD1661582-41400,2021-05-06,KD-1661582,Corporate,R2152,P000095,12,180.00,0.00,90.00
144,MX-2013-KD1661582-41400,2021-05-06,KD-1661582,Corporate,R2152,P000962,13,1170.00,0.00,585.00
145,MX-2012-EM1381036-41067,2020-06-07,EM-1381036,Corporate,R0927,P003121,2,14.00,0.20,-1.40
146,MX-2012-EM1381036-41067,2020-06-07,EM-1381036,Corporate,R0927,P003560,7,77.00,0.20,-7.70
147,US-2013-BH1171055-41476,2021-07-21,BH-1171055,Consumer,R1586,P000643,4,16.00,0.40,-4.00
148,US-2013-BH1171055-41476,2021-07-21,BH-1171055,Consumer,R1586,P001088,2,6.00,0.40,0.60
149,US-2013-BH1171055-41476,2021-07-21,BH-1171055,Consumer,R1586,P007561,4,64.00,0.40,-19.33
150,US-2013-BH1171055-41476,2021-07-21,BH-1171055,Consumer,R1586,P000431,3,33.00,0.40,-9.90
151,MX-2014-BE1133531-41931,2022-10-19,BE-1133531,Self-Employed,R0891,P007407,1,14.00,0.00,7.00
152,MX-2014-BE1133531-41931,2022-10-19,BE-1133531,Self-Employed,R0891,P000153,4,52.00,0.00,26.00
153,MX-2014-BE1133531-41931,2022-10-19,BE-1133531,Self-Employed,R0891,P000956,4,152.00,0.00,76.00
154,US-2013-LW1699036-41461,2021-07-06,LW-1699036,Corporate,R0928,P000745,9,54.00,0.20,16.20
155,MX-2012-HE1480018-41103,2020-07-13,HE-1480018,Corporate,R0321,P004428,10,270.00,0.00,27.00
156,MX-2013-LS1723093-41586,2021-11-08,LS-1723093,Consumer,R2378,P005855,5,195.00,0.00,29.25
157,MX-2013-LS1723093-41586,2021-11-08,LS-1723093,Consumer,R2378,P000162,3,9.00,0.00,4.50
158,MX-2013-ST2053082-41581,2021-11-03,ST-2053082,Consumer,R2138,P000115,2,314.00,0.00,157.00
159,MX-2013-ST2053082-41581,2021-11-03,ST-2053082,Consumer,R2138,P011963,3,39.00,0.00,19.50
160,MX-2015-GP1474031-42356,2023-12-18,GP-1474031,Corporate,R0904,P003767,11,99.00,0.00,39.60
161,MX-2015-GP1474031-42356,2023-12-18,GP-1474031,Corporate,R0904,P003583,8,240.00,0.00,96.00
162,MX-2013-TC2153531-41466,2021-07-11,TC-2153531,Self-Employed,R0893,P000348,2,8.00,0.00,1.20
163,MX-2013-TC2153531-41466,2021-07-11,TC-2153531,Self-Employed,R0893,P002057,4,28.00,0.00,14.00
164,US-2015-TZ21580143-42209,2023-07-24,TZ-21580143,Consumer,R3767,P000195,3,33.00,0.40,0.00
165,MX-2013-AR1034582-41601,2021-11-23,AR-1034582,Corporate,R2136,P001106,5,20.00,0.20,6.00
166,MX-2013-SL2015539-41486,2021-07-31,SL-2015539,Self-Employed,R0974,P004912,2,22.00,0.00,11.00
167,MX-2013-SL2015539-41486,2021-07-31,SL-2015539,Self-Employed,R0974,P006581,4,160.00,0.00,80.00
168,MX-2014-DJ1363036-41963,2022-11-20,DJ-1363036,Consumer,R0927,P000331,1,10.00,0.20,3.00
169,US-2014-YS218805-41999,2022-12-26,YS-218805,Corporate,R0045,P000572,7,140.00,0.40,14.00
170,MX-2014-BW1120082-41979,2022-12-06,BW-1120082,Consumer,R2131,P000570,3,201.00,0.20,60.30
171,MX-2012-EB1417093-41110,2020-07-20,EB-1417093,Consumer,R2378,P000207,8,88.00,0.00,44.00
172,MX-2014-MO1750082-41720,2022-03-22,MO-1750082,Consumer,R2146,P001897,2,10.00,0.00,5.00
173,MX-2014-MO1750082-41720,2022-03-22,MO-1750082,Consumer,R2146,P004360,4,48.00,0.00,4.70
174,MX-2014-MO1750082-41720,2022-03-22,MO-1750082,Consumer,R2146,P002126,1,2.00,0.00,1.00
175,MX-2014-MO1750082-41720,2022-03-22,MO-1750082,Consumer,R2146,P001464,2,40.00,0.00,4.00
176,MX-2014-JS1568539-41961,2022-11-18,JS-1568539,Corporate,R0979,P001899,14,140.00,0.00,70.00
177,MX-2014-JS1568539-41961,2022-11-18,JS-1568539,Corporate,R0979,P004328,12,180.00,0.00,90.00
178,MX-2014-JS1568539-41961,2022-11-18,JS-1568539,Corporate,R0979,P000047,14,56.00,0.00,28.00
179,MX-2014-TB2117531-41814,2022-06-24,TB-2117531,Corporate,R0887,P000716,15,525.00,0.00,262.50
180,MX-2014-TB2117531-41814,2022-06-24,TB-2117531,Corporate,R0887,P000065,5,45.00,0.00,22.50
181,MX-2014-TB2117531-41814,2022-06-24,TB-2117531,Corporate,R0887,P008731,3,30.00,0.00,3.00
182,MX-2014-TB2117531-41814,2022-06-24,TB-2117531,Corporate,R0887,P003944,6,210.00,0.00,105.00
183,MX-2014-TB2117531-41814,2022-06-24,TB-2117531,Corporate,R0887,P000772,11,88.00,0.00,13.20
184,US-2013-VW2177554-41590,2021-11-12,VW-2177554,Corporate,R1582,P000591,8,64.00,0.40,6.40
185,MX-2015-HF1499536-42293,2023-10-16,HF-1499536,Consumer,R0927,P004218,4,56.00,0.20,-5.60
186,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P007184,3,36.00,0.00,18.00
187,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P000422,1,11.00,0.00,5.50
188,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P007912,2,18.00,0.00,1.76
189,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P005874,3,120.00,0.20,-12.00
190,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P007915,2,98.00,0.20,-9.80
191,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P002601,3,9.00,0.00,0.90
192,MX-2014-CR1273028-41993,2022-12-20,CR-1273028,Consumer,R0824,P002078,1,11.00,0.00,1.10
193,MX-2015-CM1244582-42327,2023-11-19,CM-1244582,Consumer,R2139,P000225,5,55.00,0.00,22.00
194,MX-2013-BT1148528-41319,2021-02-14,BT-1148528,Self-Employed,R0814,P000974,4,68.00,0.00,34.00
195,US-2013-ML1804098-41479,2021-07-24,ML-1804098,Corporate,R2447,P007770,8,232.00,0.40,23.20
196,MX-2015-RW1963082-42187,2023-07-02,RW-1963082,Corporate,R2138,P000634,7,336.00,0.20,67.20
197,US-2012-TB2135598-41241,2020-11-28,TB-2135598,Corporate,R2446,P000735,12,1188.00,0.40,118.80
198,US-2012-TB2135598-41241,2020-11-28,TB-2135598,Corporate,R2446,P003866,20,2160.00,0.40,216.00
199,US-2014-RS1987036-41958,2022-11-15,RS-1987036,Self-Employed,R0926,P005603,4,524.00,0.20,157.20
200,US-2014-RS1987036-41958,2022-11-15,RS-1987036,Self-Employed,R0926,P002142,4,48.00,0.20,-4.80
201,US-2014-RS1987036-41958,2022-11-15,RS-1987036,Self-Employed,R0926,P000594,2,10.00,0.20,-1.00
202,US-2014-RS1987036-41958,2022-11-15,RS-1987036,Self-Employed,R0926,P000569,3,9.00,0.20,2.70
203,MX-2015-CS1249082-42286,2023-10-09,CS-1249082,Corporate,R2151,P005952,6,210.00,0.00,31.50
204,MX-2015-FP1432082-42340,2023-12-02,FP-1432082,Consumer,R2193,P000232,9,108.00,0.00,43.20
205,MX-2014-EB14170143-41901,2022-09-19,EB-14170143,Consumer,R3773,P000512,2,62.00,0.40,6.20
206,MX-2014-EB14170143-41901,2022-09-19,EB-14170143,Consumer,R3773,P002952,2,54.00,0.40,-13.50
207,MX-2014-EB14170143-41901,2022-09-19,EB-14170143,Consumer,R3773,P002828,5,50.00,0.40,5.00
208,US-2015-MW182205-42095,2023-04-01,MW-182205,Consumer,R0038,P000543,2,16.00,0.40,0.00
209,US-2015-MW182205-42095,2023-04-01,MW-182205,Consumer,R0038,P000510,6,132.00,0.70,-39.60
210,US-2015-MW182205-42095,2023-04-01,MW-182205,Consumer,R0038,P000410,2,34.00,0.40,0.00
211,US-2015-MW182205-42095,2023-04-01,MW-182205,Consumer,R0038,P000509,2,50.00,0.70,-15.00
212,US-2015-MW182205-42095,2023-04-01,MW-182205,Consumer,R0038,P000289,2,10.00,0.40,-3.00
213,US-2015-MW182205-42095,2023-04-01,MW-182205,Consumer,R0038,P000411,11,33.00,0.40,0.00
214,US-2012-CS1195036-41075,2020-06-15,CS-1195036,Consumer,R0927,P004284,3,57.00,0.20,17.10
215,MX-2015-DO1343518-42305,2023-10-28,DO-1343518,Consumer,R0387,P001478,2,16.00,0.00,6.40
216,US-2012-RR1952536-41270,2020-12-27,RR-1952536,Corporate,R0927,P000503,12,48.00,0.20,-4.80
217,US-2012-RR1952536-41270,2020-12-27,RR-1952536,Corporate,R0927,P003492,20,380.00,0.20,114.00
218,US-2012-RR1952536-41270,2020-12-27,RR-1952536,Corporate,R0927,P000099,14,112.00,0.20,-11.20
219,US-2012-RR1952536-41270,2020-12-27,RR-1952536,Corporate,R0927,P000218,6,114.00,0.20,-11.40
220,US-2012-RR1952536-41270,2020-12-27,RR-1952536,Corporate,R0927,P009414,8,40.00,0.20,-4.00
221,MX-2013-MH1762082-41612,2021-12-04,MH-1762082,Corporate,R2164,P000078,7,28.00,0.00,4.20
222,MX-2013-MH1762082-41612,2021-12-04,MH-1762082,Corporate,R2164,P002023,4,16.00,0.00,8.00
223,MX-2013-MH1762082-41612,2021-12-04,MH-1762082,Corporate,R2164,P001184,14,700.00,0.00,350.00
224,MX-2013-MH1762082-41612,2021-12-04,MH-1762082,Corporate,R2164,P002951,19,114.00,0.00,57.00
225,MX-2013-MH1762082-41612,2021-12-04,MH-1762082,Corporate,R2164,P000072,18,144.00,0.00,21.60
226,MX-2013-MH1762082-41612,2021-12-04,MH-1762082,Corporate,R2164,P000370,19,228.00,0.00,22.34
227,MX-2012-AG1030082-41250,2020-12-07,AG-1030082,Corporate,R2148,P000020,14,112.00,0.20,33.60
228,MX-2015-BM1114039-42361,2023-12-23,BM-1114039,Consumer,R0971,P000803,5,125.00,0.00,50.00
229,MX-2015-CL1270093-42284,2023-10-07,CL-1270093,Self-Employed,R2380,P000656,1,63.00,0.00,25.20
230,MX-2015-RK1930082-42206,2023-07-21,RK-1930082,Consumer,R2136,P013677,2,20.00,0.00,8.00
231,MX-2015-RK1930082-42206,2023-07-21,RK-1930082,Consumer,R2136,P000519,2,46.00,0.00,18.40
232,MX-2015-RK1930082-42206,2023-07-21,RK-1930082,Consumer,R2136,P000612,5,205.00,0.20,41.00
233,MX-2015-RK1930082-42206,2023-07-21,RK-1930082,Consumer,R2136,P000617,1,5.00,0.00,0.49
234,MX-2015-RK1930082-42206,2023-07-21,RK-1930082,Consumer,R2136,P001653,3,447.00,0.20,89.40
235,MX-2014-MG1814539-41787,2022-05-28,MG-1814539,Consumer,R0978,P000586,6,30.00,0.00,15.00
236,MX-2014-MG1814539-41787,2022-05-28,MG-1814539,Consumer,R0978,P000719,3,276.00,0.00,41.40
237,MX-2015-KD1649593-42131,2023-05-07,KD-1649593,Corporate,R2377,P002155,7,245.00,0.00,98.00
238,MX-2013-LS1724582-41531,2021-09-14,LS-1724582,Consumer,R2150,P000182,6,114.00,0.00,57.00
239,MX-2014-AS1009082-41732,2022-04-03,AS-1009082,Consumer,R2193,P004381,5,680.00,0.20,204.00
